TaskType_id,Delivery_Dt,Dept_Name,Route_seq,Car_licence,Store_id,Store_Name,Pl_M_Arrive_dt,Ac_Arrive_dt,Im_Arrive_dt
05,2024-01-01,瑞芳DC,OM04,KPD0578,1001019599,景和店,2023-12-31 21:00:00,12/31/2023 11:46:37 PM,1/1/2024 12:35:00 AM
05,2024-01-01,瑞芳DC,OM05,KPD0578,1001016952,景後店,2023-12-31 21:00:00,12/31/2023 11:53:34 PM,1/1/2024 12:40:00 AM
05,2024-01-01,瑞芳DC,OM06,KPD0578,1001018245,華德店,2023-12-31 21:00:00,12/31/2023 11:55:50 PM,1/1/2024 12:40:00 AM
05,2024-01-01,瑞芳DC,OM07,KPD0578,1001017661,景中店,2023-12-31 21:00:00,1/1/2024 12:00:25 AM,1/1/2024 12:45:00 AM
05,2024-01-01,瑞芳DC,OM08,KPD0578,1001020805,萬慶店,2023-12-31 21:00:00,1/1/2024 12:05:07 AM,1/1/2024 12:45:00 AM
05,2024-01-01,瑞芳DC,OM09,KPD0578,1001020275,新文華店,2023-12-31 21:00:00,1/1/2024 12:09:27 AM,1/1/2024 12:50:00 AM
05,2024-01-01,瑞芳DC,OM10,KPD0578,1001021231,羅和店,2023-12-31 21:00:00,1/1/2024 12:09:27 AM,1/1/2024 12:50:00 AM
05,2024-01-01,瑞芳DC,OM11,KPD0578,1001018759,羅美店,2023-12-31 21:00:00,1/1/2024 12:22:24 AM,1/1/2024 12:55:00 AM
05,2024-01-01,瑞芳DC,OM12,KPD0578,1001021152,景富店,2023-12-31 21:00:00,1/1/2024 12:26:15 AM,1/1/2024 12:55:00 AM
05,2024-01-01,瑞芳DC,OM13,KPD0578,1001022306,萬和店,2023-12-31 21:00:00,1/1/2024 12:31:40 AM,1/1/2024 1:00:00 AM
05,2024-01-01,瑞芳DC,OM14,KPD0578,1001014208,師美店,2023-12-31 21:00:00,1/1/2024 12:36:02 AM,1/1/2024 1:05:00 AM
05,2024-01-01,瑞芳DC,OM15,KPD0578,1001015531,深坑北福店,2023-12-31 21:00:00,1/1/2024 1:02:32 AM,1/1/2024 1:20:00 AM
05,2024-01-01,瑞芳DC,OM16,KPD0578,1001014888,深坑北深店,2023-12-31 21:00:00,1/1/2024 1:06:36 AM,1/1/2024 1:20:00 AM
05,2024-01-01,瑞芳DC,OM17,KPD0578,1001019256,深坑金典店,2023-12-31 21:00:00,1/1/2024 1:14:46 AM,1/1/2024 1:25:00 AM
05,2024-01-01,瑞芳DC,OM18,KPD0578,1001016992,深坑埔新店,2023-12-31 21:00:00,1/1/2024 1:20:30 AM,1/1/2024 1:30:00 AM
05,2024-01-01,瑞芳DC,OM19,KPD0578,1001019681,深坑昇高店,2023-12-31 21:00:00,1/1/2024 1:23:04 AM,1/1/2024 1:30:00 AM
05,2024-01-01,瑞芳DC,OM20,KPD0578,1001021826,深坑紅葉店,2023-12-31 21:00:00,1/1/2024 1:31:01 AM,1/1/2024 1:35:00 AM
05,2024-01-01,瑞芳DC,OM21,KPD0578,1001018146,石碇國道店,2023-12-31 21:00:00,1/1/2024 1:35:59 AM,1/1/2024 1:40:00 AM
05,2024-01-01,瑞芳DC,OM22,KPD0578,1001023006,坪林順益店,2023-12-31 21:00:00,1/1/2024 2:04:39 AM,1/1/2024 1:55:00 AM
05,2024-01-01,瑞芳DC,OMDC,KPD0578,3001888888,瑞芳ＤＣ,2023-12-31 21:00:00,1/1/2024 3:04:34 AM,1/1/2024 2:40:00 AM
12,2024-01-01,瑞芳DC,QCDC,KPD0578,S3001888888,瑞芳ＤＣ,2024-01-01 07:00:00,,
12,2024-01-01,瑞芳DC,QC02,KPD0578,1001021426,敦安店,2024-01-01 07:00:00,1/1/2024 7:49:10 AM,1/1/2024 9:00:00 AM
12,2024-01-01,瑞芳DC,QC03,KPD0578,1001016909,和信店,2024-01-01 07:00:00,1/1/2024 8:05:19 AM,1/1/2024 9:05:00 AM
12,2024-01-01,瑞芳DC,QC04,KPD0578,1001016838,光復南路店,2024-01-01 07:00:00,1/1/2024 8:11:44 AM,1/1/2024 9:10:00 AM
12,2024-01-01,瑞芳DC,QC05,KPD0578,1001023044,忠孝光復店,2024-01-01 07:00:00,1/1/2024 8:22:59 AM,1/1/2024 9:20:00 AM
12,2024-01-01,瑞芳DC,QC06,KPD0578,1001022463,國父紀念館店,2024-01-01 07:00:00,1/1/2024 8:31:21 AM,1/1/2024 9:25:00 AM
12,2024-01-01,瑞芳DC,QC07,KPD0578,1001018373,光新店,2024-01-01 07:00:00,1/1/2024 8:34:32 AM,1/1/2024 9:30:00 AM
12,2024-01-01,瑞芳DC,QC08,KPD0578,1001016473,國泰店,2024-01-01 07:00:00,1/1/2024 8:39:01 AM,1/1/2024 9:35:00 AM
12,2024-01-01,瑞芳DC,QC09,KPD0578,1001018206,吉泰店,2024-01-01 07:00:00,1/1/2024 8:44:56 AM,1/1/2024 9:40:00 AM
12,2024-01-01,瑞芳DC,QC10,KPD0578,1001021555,義和店,2024-01-01 07:00:00,1/1/2024 8:47:25 AM,1/1/2024 9:45:00 AM
12,2024-01-01,瑞芳DC,QC11,KPD0578,1001020523,新貿店,2024-01-01 07:00:00,1/1/2024 8:51:01 AM,1/1/2024 9:50:00 AM
12,2024-01-01,瑞芳DC,QC13,KPD0578,1001015953,大道店,2024-01-01 07:00:00,1/1/2024 9:27:20 AM,1/1/2024 10:25:00 AM
12,2024-01-01,瑞芳DC,QC14,KPD0578,1001022592,新中坡店,2024-01-01 07:00:00,1/1/2024 9:43:19 AM,1/1/2024 10:40:00 AM
12,2024-01-01,瑞芳DC,QC15,KPD0578,1001021889,協和店,2024-01-01 07:00:00,1/1/2024 9:46:02 AM,1/1/2024 10:45:00 AM
12,2024-01-01,瑞芳DC,QC16,KPD0578,1001022958,新成鑫店,2024-01-01 07:00:00,1/1/2024 9:50:10 AM,1/1/2024 10:50:00 AM
12,2024-01-01,瑞芳DC,QC17,KPD0578,1001023074,欣松春店,2024-01-01 07:00:00,1/1/2024 9:59:11 AM,1/1/2024 10:55:00 AM
12,2024-01-01,瑞芳DC,QC18,KPD0578,1001022235,忠信店,2024-01-01 07:00:00,1/1/2024 10:05:21 AM,1/1/2024 11:00:00 AM
12,2024-01-01,瑞芳DC,QC19,KPD0578,1001023114,厚雅店,2024-01-01 07:00:00,1/1/2024 10:17:09 AM,1/1/2024 11:05:00 AM
12,2024-01-01,瑞芳DC,QC20,KPD0578,1001020276,永隆店,2024-01-01 07:00:00,1/1/2024 10:19:19 AM,1/1/2024 11:10:00 AM
12,2024-01-01,瑞芳DC,QC21,KPD0578,1001020750,新忠隆店,2024-01-01 07:00:00,1/1/2024 10:23:17 AM,1/1/2024 11:15:00 AM
12,2024-01-01,瑞芳DC,QC22,KPD0578,1001020400,聯合店,2024-01-01 07:00:00,1/1/2024 10:27:43 AM,1/1/2024 11:20:00 AM
12,2024-01-01,瑞芳DC,QCDC,KPD0578,3001888888,瑞芳ＤＣ,2024-01-01 07:00:00,1/1/2024 11:04:08 AM,1/1/2024 11:54:00 AM
12,2024-01-01,瑞芳DC,SCDC,KPD0578,S3001888888,瑞芳ＤＣ,2024-01-01 11:30:00,,
12,2024-01-01,瑞芳DC,SC01,KPD0578,1001021611,建南店,2024-01-01 11:30:00,1/1/2024 12:59:29 PM,1/1/2024 2:20:00 PM
