商店名稱,address,Longitude,Latitude,X,Y
瑞芳ＤＣ,新北市瑞芳區楓子瀨路5巷2號,121.773384,25.1045732,375487.619,2777331.953
林口ＤＣ,新北市林口區宏昌街1號,25.084,121.4007,290419.3264,2775141.5497
