商店名稱,電話,address,商店編號,Latitude,Longitude
全家福泰店,225413026,台北市中山區民生東路一段３６號１樓,14442,25.057881,121.524309
全家民佳店,225038763,台北市中山區民生東路二段１５５號１樓,57201,25.058127,121.535793
全家新馬偕店,225117837,台北市中山區民生西路３３號１－４樓,61421,25.0578451,121.5210732
全家雙全店,225217082,台北市中山區民生西路６２號１樓全部,60299,25.0575608,121.5209315
全家興安店,225052013,台北市中山區興安街５７號,10242,25.0562159,121.5423073
全家松農店,225028032,台北市中山區農安街１６０號,53427,25.0645895,121.5339907
全家農安店,225042520,台北市中山區農安街２４９號,10023,25.0647884,121.5348795
全家新晴店,225955820,台北市中山區農安街４－１號,50439,25.0648128,121.5230389
全家新衡山店,225332342,台北市中山區通北街１１１號,55346,25.084304,121.5380032
全家錦江店,225638875,台北市中山區錦州街２１５號,10398,25.0604313,121.532221
全家新北大店,225172305,台北市中山區錦州街４２７號,54566,25.0603117,121.5424901
全家錦西店,225673231,台北市中山區錦西街８號,11266,25.0601543,121.5217006
全家正義店,225239542,台北市中山區長安東路一段５５號,14419,25.0487812,121.5265545
全家遼寧店,227405515,台北市中山區長安東路二段２１６號,19772,25.0481678,121.5424494
全家本部店,225173149,台北市中山區長安東路二段９９號１樓及２樓,57071,25.0485735,121.5349587
全家欣欣店,225314871,台北市中山區長春路１００號１樓,14512,25.0547276,121.5278778
全家長賓店,225221603,台北市中山區長春路１５號１樓,61058,25.0550794,121.5237746
全家春北店,287707194,台北市中山區長春路４１０號１樓,58403,25.054407,121.5437483
全家長春店,225817796,台北市中山區長春路４８號,10600,25.0547693,121.5258268
全家雙城店,225996056,台北市中山區雙城街１２之１號,10261,25.064542,121.524209
全家金磚店,225994347,台北市中山區雙城街１９巷２號,18705,25.0653415,121.5244534
全家雙林店,225992453,台北市中山區雙城街２之２號,18636,25.0632076,121.5242704
全家龍京店,225082793,台北市中山區龍江路１０２號１樓,58620,25.0526222,121.5403709
全家中興店,225012043,台北市中山區龍江路２０１號１Ｆ,10796,25.0562769,121.5407246
全家榮星店,225169569,台北市中山區龍江路３５２號,19680,25.0658607,121.5408433
全家鑫豐店,225157030,台北市中山區龍江路３５６巷７２號,53839,25.065893,121.538028
全家新南京店,287725827,台北市中山區龍江路９５號１樓,54112,25.0513748,121.5405696
全家台大醫院店,233223538,台北市中正區中山南路７號Ｂ１樓,58527,25.04053,121.5189715
全家新惠安店,223036887,台北市中正區中華路二段３０７巷４６號,52555,25.0294127,121.5064301
全家南機場店,223039420,台北市中正區中華路二段３１１巷１號１樓,18805,25.0283966,121.5057421
全家新東門店,223564259,台北市中正區信義路一段１號,54785,25.0385054,121.519456
全家南陽店,223881469,台北市中正區信陽街１５號,10112,25.044802,121.5162199
全家新德店,223214351,台北市中正區八德路一段４３巷２號,53115,25.0444514,121.5316297
全家正陽店,223613524,台北市中正區南陽街１號,60487,25.0458746,121.5162868
全家博愛店,223432173,台北市中正區博愛路６３號１Ｆ＋Ｂ１Ｆ,58369,25.0443137,121.5116063
全家和鄰店,223628326,台北市中正區和平西路一段８２號１樓,12744,25.0263484,121.5187824
全家嶺先店,223672038,台北市中正區廈門街１１３巷１７號１樓及地下室部分,60549,25.0234788,121.5192331
