Date,Number,Name,X,Y,Demand,W_S,W_F,Service_time,N_V,C_V1,C_V2,C_V3,Predicted_X,Predicted_Y
20240301,52924,全家榮富店,350747.608,2778745.022,10,0,86400,600,3,1800,1800,1800,347233.90625,2771860.0
20240301,50120,全家士商店,349719.423,2776162.352,10,0,86400,600,3,1800,1800,1800,346692.09375,2775053.75
20240301,62646,全家基河店,350245.662,2775813.065,10,0,86400,600,3,1800,1800,1800,350157.9375,2777658.5
20240301,50378,全家華港店,350011.372,2775793.253,10,0,86400,600,3,1800,1800,1800,348057.90625,2777626.25
20240301,59959,全家大東店,350470.507,2775982.387,10,0,86400,600,3,1800,1800,1800,350204.03125,2774708.5
