Date,Route Index,Store Order
0423,1,瑞芳ＤＣ
0423,1,國立教育店
0423,1,敦安店
0423,1,和信店
0423,1,光復南路店
0423,1,光新店
0423,1,忠孝光復店
0423,1,國父紀念館店
0423,1,吉泰店
0423,1,國泰店
0423,1,義和店
0423,1,新貿店
0423,1,南山廣場店
0423,1,忠信店
0423,1,大道店
0423,1,新中坡店
0423,1,協和店
0423,1,新成鑫店
0423,1,厚雅店
0423,1,新忠隆店
0423,1,永隆店
0423,1,聯合店
0423,2,建南店
0423,2,濟南二店
0423,2,新北科店
0423,2,北科店
0423,2,昌隆店
0423,2,懷生店
0423,2,興忠店
0423,2,興仁店
0423,2,復豐店
0423,2,正興店
0423,2,金信店
0423,2,新生南路店
0423,2,大森店
0423,2,信美店
0423,2,義興店
0423,2,復豪店
0423,2,興南店
0423,2,建國店
0423,2,瑞和店
0423,2,興和店
0423,2,瑞芳ＤＣ
0423,3,新內湖店
0423,3,湖捷店
0423,3,金瑞店
0423,3,德湖店
0423,3,紫新店
0423,3,康雲店
0423,3,星湖店
0423,3,三民店
0423,3,瑞芳ＤＣ
