Date,Route Index,Store Order
0316,1,瑞芳ＤＣ
0316,1,汐止龍安店
0316,1,汐止連新店
0316,1,汐止莊敬店
0316,1,汐止桂冠店
0316,1,汐止興莊店
0316,1,汐止青山店
0316,1,汐止新興店
0316,1,汐止福全店
0316,1,汐止秀峰店
0316,1,汐止新忠孝店
0316,1,汐止橋東店
0316,1,汐止站前店
0316,1,汐止興萬店
0316,1,汐止祥雲店
0316,2,統領店
0316,2,安勝店
0316,2,大安店
0316,2,興仁店
0316,2,興忠店
0316,2,松仁店
0316,2,新信德店
0316,2,松永店
0316,2,松友店
0316,2,瑞芳ＤＣ
0316,3,瑞芳ＤＣ
0316,3,台興店
0316,3,台科店
0316,3,台大二活店
0316,3,台一宿舍店
0316,3,台大楓林店
0316,3,台福店
0316,3,台新店
0316,3,羅騰店
0316,3,和新店
0316,3,泰順店
0316,3,台師店
0316,3,師大店
0316,3,古亭店
0316,3,羅中店
0316,3,潮州店
0316,3,和東店
0316,3,辛亥店
0316,3,和復店
0316,3,成功店
0316,3,國立教育店
0316,3,和茂店
