Date,Route Index,Store Order
0331,1,瑞芳ＤＣ
0331,1,松創店
0331,1,逸鑫店
0331,1,台北１０１店
0331,1,建鑫店
0331,1,松仁店
0331,1,新安興店
0331,1,祥和店
0331,1,挹翠店
0331,1,盛興店
0331,1,莊敬店
0331,1,北醫店
0331,1,莊新店
0331,1,富興店
0331,1,景聯店
0331,1,三興店
0331,1,復昌店
0331,1,新信德店
0331,1,松友店
0331,1,松永店
0331,2,萬芳店
0331,2,興園店
0331,2,仙岩店
0331,2,靜興店
0331,2,華德店
0331,2,新文華店
0331,2,師美店
0331,2,萬和店
0331,2,景富店
0331,2,萬慶店
0331,2,深坑北福店
0331,2,深坑北深店
0331,2,深坑金典店
0331,2,深坑埔新店
0331,2,深坑昇高店
0331,2,深坑紅葉店
0331,2,石碇國道店
0331,2,坪林順益店
0331,2,石碇雙溪店
0331,2,平溪平安店
0331,2,平溪十分店
0331,2,瑞芳ＤＣ
