Date,Route Index,Store Order
0306,1,瑞芳ＤＣ
0306,1,汐止鄉長店
0306,1,汐止車站店
0306,1,汐止農會店
0306,1,汐止建泰店
0306,1,汐止建安店
0306,1,汐止大同店
0306,1,汐止經貿店
0306,1,七堵長安店
0306,1,七堵新明德店
0306,1,七堵泰安店
0306,1,七堵東新店
0306,1,七堵自治店
0306,1,七堵大興店
0306,1,七堵永富店
0306,1,基隆暖東店
0306,1,基隆暖盛店
0306,1,基隆暖鑫店
0306,1,八堵車站店
0306,1,七堵工明店
0306,1,基隆百福店
0306,1,汐止摩天店
0306,1,汐止保興店
0306,1,汐止和平店
0306,1,汐止宏國店
0306,1,汐止智興店
0306,2,名門店
0306,2,興萬店
0306,2,興昌店
0306,2,中科大店
0306,2,再興店
0306,2,明興店
0306,2,文山公宅店
0306,2,木柵路店
0306,2,保儀店
0306,2,鑫順店
0306,2,欣榮店
0306,2,恆光店
0306,2,興政店
0306,2,政富店
0306,2,指南店
0306,2,木興店
0306,2,興崙店
0306,2,順輝店
0306,2,興業店
0306,2,新福興店
0306,2,景興店
0306,2,萬福店
0306,2,萬興店
0306,2,瑞芳ＤＣ
0306,3,林口ＤＣ
0306,3,泰山新輔醫店
0306,3,新莊新泰店
0306,3,新莊新園寧店
0306,3,新莊華運店
0306,3,新莊華寧店
0306,3,新莊中港店
0306,3,新莊新和港店
0306,3,新莊和運店
0306,3,新莊新幸福店
0306,3,新莊狀元店
0306,3,新莊新中平店
0306,3,新莊中悅店
0306,3,新莊忠承店
0306,3,新莊中環店
0306,3,新莊副都店
0306,3,新莊中央店
0306,3,新莊城邦店
0306,3,新莊北醫店
0306,3,新莊五工店
0306,3,新莊新工店
0306,3,五股五權店
