Date,Route Index,Store Order
0319,1,瑞芳ＤＣ
0319,1,汐止康寧店
0319,1,護校店
0319,1,港忠店
0319,1,南港生技店
0319,1,中研店
0319,1,研究院店
0319,1,胡適店
0319,1,新莊研店
0319,1,汐止鑫宜興店
0319,1,國興店
0319,1,汐止橫科店
0319,1,汐止力行店
0319,1,富康店
0319,1,汐止南陽店
0319,1,汐止興福店
0319,1,汐止興中店
0319,1,汐止導航店
0319,1,汐止樟興店
0319,1,汐止忠樹店
0319,1,汐止樟中店
0319,1,汐止樟福店
0319,1,汐止新樹店
0319,1,汐止福德店
0319,1,汐止福旺店
0319,1,汐止長虹店
0319,1,汐止茂盛店
0319,2,瑞芳ＤＣ
0319,2,新店寶元店
0319,2,新店慶民店
0319,2,新店金采店
0319,2,新店民佳店
0319,2,新店慈濟店
0319,2,新店復興店
0319,2,新店莊敬店
0319,2,新店大鵬店
0319,2,新店中盛店
0319,2,新店公宅店
0319,2,新店民權店
0319,2,新店江陵店
0319,2,新店順安店
0319,2,新店新豐店
0319,2,新店新寶安店
0319,2,新店新文強店
0319,2,新店新寶橋店
0319,2,新店德正店
0319,2,新店華盛店
0319,2,新店新華店
0319,2,新店光盛店
0319,2,新店光明店
0319,2,新店行政店
