Date,Route Index,Store Order
0324,1,瑞芳ＤＣ
0324,1,汐止力行店
0324,1,富康店
0324,1,港忠店
0324,1,南港生技店
0324,1,中研店
0324,1,研究院店
0324,1,胡適店
0324,1,新莊研店
0324,1,汐止鑫宜興店
0324,1,國興店
0324,1,汐止橫科店
0324,1,汐止南陽店
0324,1,汐止興中店
0324,1,汐止樟興店
0324,1,汐止忠樹店
0324,1,汐止樟中店
0324,1,汐止樟福店
0324,1,汐止新樹店
0324,1,汐止福德店
0324,1,汐止福旺店
0324,1,汐止長虹店
0324,1,汐止興福店
0324,1,汐止茂盛店
0324,2,新店新寶安店
0324,2,新店寶元店
0324,2,新店慶民店
0324,2,新店金采店
0324,2,新店民佳店
0324,2,新店慈濟店
0324,2,新店民權店
0324,2,新店復興店
0324,2,新店莊敬店
0324,2,新店大鵬店
0324,2,新店中盛店
0324,2,新店公宅店
0324,2,新店江陵店
0324,2,新店順安店
0324,2,新店新豐店
0324,2,新店新文強店
0324,2,新店新寶橋店
0324,2,新店德正店
0324,2,新店華盛店
0324,2,新店新華店
0324,2,新店光盛店
0324,2,新店光明店
0324,2,新店北宜店
0324,2,新店長春店
0324,2,新店美譚店
0324,2,新店龜山店
0324,2,烏來烏萊店
0324,2,烏來溫泉店
0324,2,新店新陽店
0324,2,新店鑫峰店
0324,2,瑞芳ＤＣ
