,瑞芳dc,全家信吉店,全家新中坡店,全家協和店,全家祥和店,全家松友店,全家松仁店,全家松創店,全家光復南路店,全家復昌店,全家富興店,全家北醫店,全家盛興店,全家挹翠店,全家三興店,全家六張黎店,全家財盛店,全家永隆店,全家大道店,全家崇德店,全家台北１０１店,全家忠信店,全家松安店,全家忠美店,全家新忠隆店,全家聯合店,全家南山廣場店,全家新安興店,全家永孝店,全家建鑫店,全家松山車站店,全家松傑店,全家松盛店,全家松永店,全家信安店,全家新信德店,全家永吉二店,全家厚雅店,全家景聯店,全家莊新店,全家莊敬店,全家欣富台店,全家海華店,全家忠林店,全家新松林店,全家永林店,全家逸鑫店
全家松盛店,1804,158,326,270,758,448,624,692,662,667,764,781,768,859,789,1063,774,531,306,885,617,260,211,203,451,560,630,729,243,672,240,252,0,356,390,437,136,470,749,754,767,250,309,326,111,157,559
全家松永店,1941,370,374,318,475,211,340,578,581,467,480,497,485,575,505,863,574,418,302,685,334,197,196,174,337,447,386,445,261,428,472,484,440,0,107,153,358,409,465,471,483,194,110,113,333,259,460
全家信安店,1930,516,406,454,394,148,259,598,480,386,399,416,404,494,424,782,493,438,379,604,253,288,323,344,357,467,301,364,269,343,642,655,567,126,0,90,376,429,384,390,402,293,272,226,450,369,470
全家新信德店,1969,485,381,434,450,137,315,689,536,442,455,472,460,550,480,838,549,528,354,660,309,312,312,289,448,557,357,420,376,399,587,599,556,115,211,0,473,524,440,446,458,309,225,229,449,374,565
全家永吉二店,1860,187,355,299,746,490,612,590,569,574,751,769,756,846,772,971,681,430,335,792,601,174,253,245,321,459,512,717,128,554,356,368,275,326,373,420,0,326,737,742,755,129,198,325,121,139,466
全家厚雅店,1743,345,507,451,591,479,456,418,397,402,596,613,601,691,650,798,509,258,434,620,464,250,327,307,103,287,356,561,112,398,471,483,416,362,336,421,205,0,581,587,599,205,234,359,279,198,294
全家景聯店,1917,726,656,704,353,398,278,511,296,177,110,177,220,368,161,506,258,351,629,358,278,571,600,577,439,556,284,307,578,327,786,799,816,403,394,362,586,480,0,105,162,599,514,517,660,651,435
全家莊新店,1987,797,655,703,248,397,203,601,398,267,96,72,115,263,232,428,243,421,628,280,239,568,599,577,510,611,278,202,575,320,857,870,843,403,391,361,656,551,91,0,57,596,513,516,731,649,495
全家莊敬店,2053,780,662,710,217,404,172,667,464,333,161,55,84,232,298,464,287,487,636,316,264,582,606,584,515,625,302,172,589,344,882,894,850,410,405,368,696,606,156,66,0,610,520,524,744,662,520
全家欣富台店,1931,279,364,308,649,360,514,492,562,567,654,671,658,749,655,964,675,332,291,786,483,66,109,163,251,361,414,619,96,456,447,460,366,209,257,303,134,290,639,644,657,0,81,216,213,81,486
全家海華店,1910,340,343,287,544,280,409,468,535,536,549,566,554,644,574,932,643,307,271,754,403,87,163,143,227,336,340,514,150,382,441,453,410,128,176,222,204,299,534,540,552,84,0,196,303,167,414
全家忠林店,1906,334,339,283,509,245,374,618,595,501,514,531,518,609,539,897,608,458,266,719,368,210,161,138,377,487,416,479,301,458,436,449,405,106,141,187,323,449,499,504,517,234,150,0,298,223,501
全家新松林店,1856,167,335,279,779,470,645,647,610,615,785,802,789,880,810,1011,722,529,315,833,639,221,233,224,414,499,628,750,229,670,308,320,253,377,412,458,107,418,770,775,788,217,299,347,0,179,507
全家永林店,1918,224,351,295,706,396,571,562,552,557,711,728,716,806,736,954,665,401,279,776,565,94,159,151,321,431,500,676,82,542,382,395,295,303,338,384,133,280,697,702,714,89,179,244,175,0,449
全家逸鑫店,1894,496,547,491,615,519,480,271,172,243,484,549,624,715,492,640,350,120,475,461,291,291,367,347,209,194,380,585,298,422,556,569,585,403,377,461,355,250,455,522,546,319,275,400,430,371,0
