time,mileage,lat,lon,road_name
0.0,0.0,25.04309,121.56875,永吉路30巷
7.666666666666667,18.416666666666668,25.04294,121.56874,永吉路30巷
15.333333333333334,36.833333333333336,25.04272,121.56876,永吉路30巷
23.0,55.25,25.04259,121.56875,永吉路30巷
30.666666666666668,73.66666666666667,25.04254,121.56875,永吉路30巷
38.333333333333336,92.08333333333334,25.04233,121.56872,永吉路30巷
46.0,110.50000000000001,25.04214,121.56871,永吉路30巷
53.666666666666664,128.91666666666669,25.04194,121.56871,永吉路30巷
61.33333333333333,147.33333333333334,25.04177,121.5687,永吉路30巷
69.0,165.75,25.04157,121.56868,永吉路30巷
76.66666666666667,184.16666666666666,25.04142,121.56867,永吉路30巷
84.33333333333334,202.58333333333331,25.04134,121.56866,永吉路30巷
92.00000000000001,220.99999999999997,25.04111,121.56866,忠孝東路
101.72727272727275,257.45454545454544,25.04112,121.56855,忠孝東路
111.45454545454547,293.9090909090909,25.04112,121.56841,忠孝東路
121.18181818181819,330.3636363636363,25.04115,121.56731,忠孝東路
130.9090909090909,366.81818181818176,25.04116,121.56685,忠孝東路
140.63636363636363,403.2727272727272,25.04118,121.56626,忠孝東路
150.36363636363635,439.72727272727263,25.04118,121.56602,忠孝東路
160.09090909090907,476.1818181818181,25.0412,121.56547,忠孝東路
169.81818181818178,512.6363636363635,25.0412,121.56531,忠孝東路
179.5454545454545,549.090909090909,25.04121,121.56514,忠孝東路
189.27272727272722,585.5454545454545,25.04122,121.56489,忠孝東路
198.99999999999994,622.0,25.04123,121.56467,基隆路一段
209.99999999999994,648.75,25.04123,121.56463,基隆路一段
220.99999999999994,675.5,25.04152,121.56481,基隆路一段
231.99999999999994,702.25,25.04171,121.56493,基隆路一段
242.99999999999994,729.0,25.04171,121.56493,基隆路一段
