time,mileage,lat,lon,road_name
0.0,0.0,25.03513,121.55807,基隆路一段364巷
6.0,25.5,25.0351,121.55786,基隆路一段364巷
12.0,51.0,25.03506,121.55758,光復南路
18.875,85.5,25.03538,121.55759,光復南路
25.75,120.0,25.03552,121.55759,光復南路
32.625,154.5,25.03618,121.55761,光復南路
39.5,189.0,25.0364,121.55761,光復南路
46.375,223.5,25.03654,121.55761,光復南路
53.25,258.0,25.03687,121.55762,光復南路
60.125,292.5,25.03719,121.55763,光復南路
67.0,327.0,25.03743,121.55764,光復南路
73.875,361.5,25.03752,121.5576,光復南路
80.75,396.0,25.03766,121.5576,光復南路
87.625,430.5,25.03772,121.5576,光復南路
94.5,465.0,25.03781,121.5576,光復南路
101.375,499.5,25.03791,121.5576,光復南路
108.25,534.0,25.03809,121.5576,光復南路
115.125,568.5,25.03819,121.5576,光復南路
122.0,603.0,25.03845,121.55761,光復南路
128.875,637.5,25.03856,121.55762,光復南路
135.75,672.0,25.03884,121.55763,光復南路
142.625,706.5,25.03932,121.55765,光復南路
149.5,741.0,25.03943,121.55766,光復南路
156.375,775.5,25.04033,121.5577,光復南路
163.25,810.0,25.04088,121.55771,光復南路
170.125,844.5,25.04127,121.55772,光復南路
177.0,879.0,25.04141,121.55773,光復南路
183.875,913.5,25.04171,121.55776,光復南路
190.75,948.0,25.04321,121.55778,光復南路
197.625,982.5,25.04355,121.55778,光復南路
204.5,1017.0,25.04373,121.55779,光復南路
211.375,1051.5,25.04451,121.5578,光復南路
218.25,1086.0,25.04469,121.55781,光復南路
225.125,1120.5,25.0449,121.55783,光復南路
232.0,1155.0,25.04498,121.55783,市民大道五段
235.39473684210526,1178.3684210526317,25.04502,121.55797,市民大道五段
238.78947368421052,1201.7368421052633,25.04504,121.55803,市民大道五段
242.18421052631578,1225.105263157895,25.04507,121.55812,市民大道五段
245.57894736842104,1248.4736842105267,25.04511,121.55818,市民大道五段
248.9736842105263,1271.8421052631584,25.04513,121.55824,市民大道五段
252.36842105263156,1295.21052631579,25.04516,121.55829,市民大道五段
255.76315789473682,1318.5789473684217,25.04532,121.5586,市民大道五段
259.1578947368421,1341.9473684210534,25.04544,121.55882,市民大道五段
262.55263157894734,1365.315789473685,25.04552,121.55899,市民大道五段
265.9473684210526,1388.6842105263167,25.04553,121.55902,市民大道五段
269.34210526315786,1412.0526315789484,25.04554,121.55905,市民大道五段
272.7368421052631,1435.42105263158,25.04565,121.55931,市民大道五段
276.1315789473684,1458.7894736842118,25.04571,121.55944,市民大道五段
279.52631578947364,1482.1578947368434,25.04583,121.55971,市民大道五段
282.9210526315789,1505.5263157894751,25.04587,121.55982,市民大道五段
286.31578947368416,1528.8947368421068,25.04592,121.55992,市民大道五段
289.7105263157894,1552.2631578947385,25.04597,121.56003,市民大道五段
293.1052631578947,1575.6315789473701,25.04597,121.56009,市民大道五段
296.49999999999994,1599.0000000000018,25.04598,121.5601,市民大道五段
299.8947368421052,1622.3684210526335,25.04598,121.56011,市民大道五段
303.28947368421046,1645.7368421052652,25.04603,121.56023,市民大道五段
306.6842105263157,1669.1052631578968,25.0461,121.56043,市民大道五段
310.078947368421,1692.4736842105285,25.04622,121.56075,市民大道五段
313.47368421052624,1715.8421052631602,25.04628,121.56088,市民大道五段
316.8684210526315,1739.2105263157919,25.04638,121.56109,市民大道五段
320.26315789473676,1762.5789473684235,25.04648,121.56132,市民大道五段
323.657894736842,1785.9473684210552,25.04658,121.56154,市民大道五段
327.0526315789473,1809.315789473687,25.04664,121.56168,市民大道五段
330.44736842105254,1832.6842105263186,25.04667,121.56175,市民大道五段
333.8421052631578,1856.0526315789502,25.0467,121.56181,市民大道五段
337.23684210526307,1879.421052631582,25.04673,121.56186,市民大道五段
340.6315789473683,1902.7894736842136,25.04684,121.56209,市民大道五段
344.0263157894736,1926.1578947368453,25.04707,121.5626,市民大道五段
347.42105263157885,1949.526315789477,25.04723,121.56303,市民大道五段
350.8157894736841,1972.8947368421086,25.0476,121.56407,市民大道五段
354.21052631578937,1996.2631578947403,25.04779,121.56462,市民大道五段
357.6052631578946,2019.631578947372,25.04804,121.56533,市民大道五段
360.9999999999999,2043.0000000000036,25.04823,121.56587,東興路
367.1764705882352,2063.647058823533,25.04837,121.5658,東興路
373.3529411764705,2084.294117647062,25.04846,121.56574,東興路
379.5294117647058,2104.9411764705915,25.04859,121.56566,東興路
385.7058823529411,2125.5882352941208,25.04867,121.56562,東興路
391.8823529411764,2146.23529411765,25.04878,121.56558,東興路
398.0588235294117,2166.8823529411793,25.04884,121.56555,東興路
404.235294117647,2187.5294117647086,25.04896,121.56553,東興路
410.4117647058823,2208.176470588238,25.04915,121.56549,東興路
416.5882352941176,2228.823529411767,25.04926,121.56548,東興路
422.7647058823529,2249.4705882352964,25.0494,121.56546,東興路
428.94117647058823,2270.1176470588257,25.04955,121.56544,東興路
435.11764705882354,2290.764705882355,25.05005,121.56538,東興路
441.29411764705884,2311.4117647058843,25.05017,121.5654,東興路
447.47058823529414,2332.0588235294135,25.05033,121.56541,東興路
453.64705882352945,2352.705882352943,25.05074,121.56542,東興路
459.82352941176475,2373.352941176472,25.05093,121.56543,東興路
466.00000000000006,2394.0000000000014,25.05131,121.56544,南京東路五段
471.00000000000006,2418.2500000000014,25.0513,121.56581,南京東路五段
476.00000000000006,2442.5000000000014,25.0513,121.56613,南京東路五段
481.00000000000006,2466.7500000000014,25.0513,121.56623,南京東路五段
486.00000000000006,2491.0000000000014,25.0513,121.56627,南京東路五段
491.00000000000006,2515.2500000000014,25.0513,121.56649,南京東路五段
496.00000000000006,2539.5000000000014,25.05129,121.56701,南京東路五段
501.00000000000006,2563.7500000000014,25.05129,121.56725,南京東路五段
506.00000000000006,2588.0000000000014,25.05129,121.56737,麥帥一橋
507.7222222222223,2607.0000000000014,25.05129,121.56749,麥帥一橋
509.4444444444445,2626.0000000000014,25.0513,121.56762,麥帥一橋
511.16666666666674,2645.0000000000014,25.0513,121.56769,麥帥一橋
512.8888888888889,2664.0000000000014,25.05128,121.56825,麥帥一橋
514.6111111111111,2683.0000000000014,25.05128,121.56834,麥帥一橋
516.3333333333333,2702.0000000000014,25.05128,121.56843,麥帥一橋
518.0555555555554,2721.0000000000014,25.05125,121.56939,麥帥一橋
519.7777777777776,2740.0000000000014,25.05125,121.56945,麥帥一橋
521.4999999999998,2759.0000000000014,25.05125,121.5695,麥帥一橋
523.222222222222,2778.0000000000014,25.05124,121.57008,麥帥一橋
524.9444444444441,2797.0000000000014,25.05124,121.57016,麥帥一橋
526.6666666666663,2816.0000000000014,25.05124,121.57026,麥帥一橋
528.3888888888885,2835.0000000000014,25.05126,121.57035,麥帥一橋
530.1111111111106,2854.0000000000014,25.05128,121.57051,麥帥一橋
531.8333333333328,2873.0000000000014,25.05129,121.57056,麥帥一橋
533.555555555555,2892.0000000000014,25.05131,121.57065,麥帥一橋
535.2777777777771,2911.0000000000014,25.05134,121.57076,麥帥一橋
536.9999999999993,2930.0000000000014,25.05137,121.57082,麥帥一橋
538.7222222222215,2949.0000000000014,25.05144,121.57095,麥帥一橋
540.4444444444437,2968.0000000000014,25.05146,121.57098,麥帥一橋
542.1666666666658,2987.0000000000014,25.0515,121.57105,麥帥一橋
543.888888888888,3006.0000000000014,25.05159,121.57121,麥帥一橋
545.6111111111102,3025.0000000000014,25.05161,121.57124,麥帥一橋
547.3333333333323,3044.0000000000014,25.05166,121.57134,麥帥一橋
549.0555555555545,3063.0000000000014,25.05171,121.57144,麥帥一橋
550.7777777777767,3082.0000000000014,25.05188,121.57177,麥帥一橋
